"id","name","weight","calories","link"
1,½Ò¹ä,"210",335,https://www.coupang.com/vp/products/7488621084?itemId=24047641942&vendorItemId=91083866529&sourceType=srp_product_ads&clickEventId=5cb16fc0-ce60-11f0-94d1-807616a4fcdc&korePlacement=15&koreSubPlacement=1&clickEventId=5cb16fc0-ce60-11f0-94d1-807616a4fcdc&korePlacement=15&koreSubPlacement=1&traceId=mimjwfj0
2,±âÅ¸Àâ°î¹ä,"200",302,https://www.coupang.com/vp/products/8618355191?itemId=25002681006&vendorItemId=92007801462&sourceType=srp_product_ads&clickEventId=2c405040-ce60-11f0-aac6-0eb2fe17ced8&korePlacement=15&koreSubPlacement=1&clickEventId=2c405040-ce60-11f0-aac6-0eb2fe17ced8&korePlacement=15&koreSubPlacement=1&traceId=mimjuuig
3,Äá¹ä,"200",323,https://www.coupang.com/vp/products/8244543166?itemId=26257065841&vendorItemId=93235464610&sourceType=srp_product_ads&clickEventId=631c32a0-ce60-11f0-b582-ef1d19b65ef8&korePlacement=15&koreSubPlacement=5&clickEventId=631c32a0-ce60-11f0-b582-ef1d19b65ef8&korePlacement=15&koreSubPlacement=5&traceId=mimjwum4
4,º¸¸®¹ä,"200",316,https://www.coupang.com/vp/products/8588649761?itemId=23202067221&vendorItemId=88320177944&q=%EB%B3%B4%EB%A6%AC%EB%B0%A5&searchId=e092589f11417626&sourceType=search&itemsCount=36&searchRank=7&rank=7&traceId=mimjxbh9
5,µ¹¼Ü¹ä,"350",529,
6,Çö¹Ì¹ä,"230",351,https://www.coupang.com/vp/products/8107798642?itemId=17450688874&vendorItemId=82062742475&q=%ED%98%84%EB%AF%B8%EB%B0%A5&searchId=34b263072987256&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mimjyuhn
7,Èæ¹Ì¹ä,"200",318,https://www.coupang.com/vp/products/8245782294?itemId=381179306&vendorItemId=86533286422&pickType=COU_PICK&q=%ED%9D%91%EB%AF%B8%EB%B0%A5&searchId=d011972816192553&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mimjz6j7
8,°¨ÀÚ¹ä,"200",308,https://www.coupang.com/vp/products/8244553381?itemId=23912695521&vendorItemId=92062204658&q=%EA%B0%90%EC%9E%90%EB%B0%A5&searchId=f960f1482472307&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mimjzgsz
9,°ïµå·¹¹ä,"350",507,https://www.coupang.com/vp/products/8909558981?itemId=26033305535&vendorItemId=93014891758&sourceType=srp_product_ads&clickEventId=bea91660-ce60-11f0-a647-f7fec5c95d08&korePlacement=15&koreSubPlacement=1&clickEventId=bea91660-ce60-11f0-a647-f7fec5c95d08&korePlacement=15&koreSubPlacement=1&traceId=mimk006r
10,±èÄ¡ººÀ½¹ä,"500",657,https://www.coupang.com/vp/products/185917305?itemId=531676761&vendorItemId=5016417157&pickType=COU_PICK&q=%EA%B9%80%EC%B9%98%EB%B3%B6%EC%9D%8C%EB%B0%A5&searchId=f3d55af716562248&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimk09x6
11,ÁÖ¸Ô¹ä,"150",210,https://www.coupang.com/vp/products/6699315258?itemId=15511680368&vendorItemId=82730977945&sourceType=srp_product_ads&clickEventId=cd889cf0-ce60-11f0-a683-255a4f4d093d&korePlacement=15&koreSubPlacement=9&clickEventId=cd889cf0-ce60-11f0-a683-255a4f4d093d&korePlacement=15&koreSubPlacement=9&traceId=mimk0pia
12,ººÀ½¹ä,"400",688,https://www.coupang.com/vp/products/6069684347?itemId=11200106731&vendorItemId=3119718690&q=%EB%B3%B6%EC%9D%8C%EB%B0%A5&searchId=4defbfb89449834&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimk109v
13,ÀÏ¹Ýºñºö¹ä,"500",703,https://www.coupang.com/vp/products/8035042359?itemId=23034708800&vendorItemId=90068460227&q=%EB%B9%84%EB%B9%94%EB%B0%A5&searchId=b54d2ff62339451&sourceType=search&itemsCount=36&searchRank=3&rank=3&traceId=mimk1j2b
14,ÀüÁÖºñºö¹ä,"450",662,https://www.coupang.com/vp/products/7973072550?itemId=22089935247&vendorItemId=89136938917&sourceType=srp_product_ads&clickEventId=f0c94570-ce60-11f0-9530-39fd8c8aa455&korePlacement=15&koreSubPlacement=1&clickEventId=f0c94570-ce60-11f0-9530-39fd8c8aa455&korePlacement=15&koreSubPlacement=1&traceId=mimk1v5u
15,»ï¼±ººÀ½¹ä,"400",684,https://www.coupang.com/vp/products/6672856935?itemId=9181761997&vendorItemId=90558199324&q=%EC%82%BC%EC%84%A0%EB%B3%B6%EC%9D%8C%EB%B0%A5&searchId=5da892a413363730&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mimk2ama
16,»õ¿ìººÀ½¹ä,"400",635,https://www.coupang.com/vp/products/7325195781?itemId=19597943354&vendorItemId=86705162858&sourceType=srp_product_ads&clickEventId=0765ff80-ce61-11f0-868d-cf3aa491f0d4&korePlacement=15&koreSubPlacement=1&clickEventId=0765ff80-ce61-11f0-868d-cf3aa491f0d4&korePlacement=15&koreSubPlacement=1&traceId=mimk2odl
17,¾Ë¹ä,"400",607,https://www.coupang.com/vp/products/6187358758?itemId=12190462693&vendorItemId=79461558764&q=%EC%95%8C%EB%B0%A5&searchId=3e4123a413370189&sourceType=search&itemsCount=36&searchRank=8&rank=8&traceId=mimk2yaj
18,»êÃ¤ºñºö¹ä ,"400",496,https://www.coupang.com/vp/products/7350047598?itemId=18911811974&vendorItemId=86039191655&sourceType=srp_product_ads&clickEventId=18524600-ce61-11f0-a891-d0846124ce66&korePlacement=15&koreSubPlacement=1&clickEventId=18524600-ce61-11f0-a891-d0846124ce66&korePlacement=15&koreSubPlacement=1&traceId=mimk382x
19,¿À¹Ç¶óÀÌ½º,"450",685,https://www.coupang.com/vp/products/326164759?itemId=1043997353&vendorItemId=5504750054&pickType=COU_PICK&q=%EC%98%A4%EB%AF%80%EB%9D%BC%EC%9D%B4%EC%8A%A4&searchId=9cedb86621521462&sourceType=search&itemsCount=36&searchRank=6&rank=6&traceId=mimk3j89
20,À°È¸ºñºö¹ä,"450",661,
21,ÇØ¹°ººÀ½¹ä,"400",659,https://www.coupang.com/vp/products/8243674770?itemId=610953124&vendorItemId=70264162674&q=%ED%95%B4%EB%AC%BC%EB%B3%B6%EC%9D%8C%EB%B0%A5&searchId=b188746a15597931&sourceType=search&itemsCount=36&searchRank=3&rank=3&traceId=mimk4ebm
22,¿­¹«ºñºö¹ä,"400",446,https://www.coupang.com/vp/products/7548541229?itemId=19860077919&vendorItemId=86961052000&q=%EC%97%B4%EB%AC%B4%EB%B9%84%EB%B9%94%EB%B0%A5&searchId=95274dcf24629431&sourceType=search&itemsCount=34&searchRank=10&rank=10&traceId=mimk4zz5
23,ºÒ°í±âµ¤¹ä,"500",700,https://www.coupang.com/vp/products/7506051949?itemId=2368802427&vendorItemId=85762197299&q=%EB%B6%88%EA%B3%A0%EA%B8%B0%20%EB%8D%AE%EB%B0%A5&searchId=b2ca543c11428498&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimk5ain
24,¼Ò°í±â±¹¹ä,"700",332,https://www.coupang.com/vp/products/8244564743?itemId=13774981097&vendorItemId=85480604789&pickType=COU_PICK&q=%EC%86%8C%EA%B3%A0%EA%B8%B0%20%EA%B5%AD%EB%B0%A5&searchId=331b50b19597174&sourceType=search&itemsCount=34&searchRank=1&rank=1&traceId=mimk5iwv
25,¼ÛÀÌµ¤¹ä,"600",600,
26,¿ÀÂ¡¾îµ¤¹ä,"500",694,https://www.coupang.com/vp/products/8262592006?itemId=25100130745&vendorItemId=92103373234&pickType=COU_PICK&q=%EC%98%A4%EC%A7%95%EC%96%B4%EB%8D%AE%EB%B0%A5&searchId=1d8dc54216628309&sourceType=search&itemsCount=35&searchRank=1&rank=1&traceId=mimk64jk
27,ÀÚÀå¹ä,"500",730,https://www.coupang.com/vp/products/8598190032?itemId=24925136765&vendorItemId=88779852576&q=%EC%9E%90%EC%9E%A5%EB%B0%A5&searchId=721bd9c716222239&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimk6eya
28,ÀâÃ¤¹ä,"650",852,https://www.coupang.com/vp/products/1310396719?itemId=2327020850&vendorItemId=70323614192&pickType=COU_PICK&q=%EC%9E%A1%EC%B1%84%EB%B0%A5&searchId=d727194118623715&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mimk6prb
29,ÀâÅÁ¹ä,"750",737,https://www.coupang.com/vp/products/8960498601?itemId=26218086371&vendorItemId=93197047766&q=%EC%9E%A1%ED%83%95%EB%B0%A5&searchId=5be7ba1219822597&sourceType=search&itemsCount=35&searchRank=0&rank=0&traceId=mimk6yew
30,Àå¾îµ¤¹ä,"400",672,https://www.coupang.com/vp/products/6997151577?itemId=17145912080&vendorItemId=84318673580&q=%EC%9E%A5%EC%96%B4%EB%8D%AE%EB%B0%A5&searchId=3119868919080410&sourceType=search&itemsCount=34&searchRank=3&rank=3&traceId=mimk7bxz
31,Á¦À°µ¤¹ä,"500",797,https://www.coupang.com/vp/products/7822323087?itemId=17905196303&vendorItemId=85067945478&q=%EC%A0%9C%EC%9C%A1%20%EB%8D%AE%EB%B0%A5&searchId=a0fefd4f3125012&sourceType=search&itemsCount=35&searchRank=2&rank=2&traceId=mimk7oa7
32,Â«»Í¹ä,"900",697,https://www.coupang.com/vp/products/8246225202?itemId=19081006684&vendorItemId=86203379993&q=%EC%A7%AC%EB%BD%95%EB%B0%A5&searchId=af0f82989606752&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mimk7y2e
33,¼ø´ë±¹¹ä,"900",690,https://www.coupang.com/vp/products/7566181893?itemId=20396768040&vendorItemId=87479329809&q=%EC%88%9C%EB%8C%80%EA%B5%AD%EB%B0%A5&searchId=53074ba024650630&sourceType=search&itemsCount=35&searchRank=1&rank=1&traceId=mimk86x2
